przystanek;nr_przystanku;linia;dzień;godzina docelowa
7099;09;190;2024-07-06;11:51:00
7099;09;190;2024-07-06;12:01:00
7099;09;190;2024-07-06;12:11:00
7099;09;190;2024-07-06;12:21:00
7099;09;190;2024-07-06;12:31:00
7099;09;190;2024-07-06;12:41:00
7099;09;190;2024-07-06;12:51:00
7099;09;190;2024-07-06;13:01:00
7099;09;190;2024-07-06;13:11:00
7099;09;190;2024-07-06;13:21:00
7099;09;190;2024-07-06;13:31:00
7099;09;190;2024-07-06;13:41:00
7099;09;190;2024-07-06;13:51:00
7099;09;190;2024-07-06;14:01:00
7099;09;190;2024-07-06;14:11:00
7099;09;190;2024-07-06;14:21:00
7099;09;190;2024-07-06;14:31:00
7099;09;190;2024-07-06;14:41:00
7099;09;190;2024-07-06;14:51:00
7099;09;190;2024-07-06;15:01:00
7099;09;190;2024-07-06;15:11:00
7099;09;190;2024-07-06;15:21:00
7099;09;190;2024-07-06;15:31:00
7099;09;190;2024-07-06;15:41:00
7099;09;190;2024-07-06;15:51:00
7099;09;190;2024-07-06;16:01:00
7099;09;190;2024-07-06;16:11:00
7099;09;190;2024-07-06;16:21:00
7099;09;190;2024-07-06;16:31:00
7099;09;190;2024-07-06;16:41:00
7099;09;190;2024-07-06;16:51:00
7099;09;190;2024-07-06;17:01:00
7099;09;190;2024-07-06;17:11:00
7099;09;190;2024-07-06;17:21:00
7099;09;190;2024-07-06;17:31:00
7099;09;190;2024-07-06;17:41:00
7099;09;190;2024-07-06;17:51:00
7099;09;190;2024-07-06;18:01:00
7099;09;190;2024-07-06;18:11:00
7099;09;190;2024-07-06;18:21:00
7099;09;190;2024-07-06;18:31:00
7099;09;190;2024-07-06;18:41:00
7099;09;190;2024-07-06;18:51:00
7099;09;190;2024-07-06;19:01:00
7099;09;190;2024-07-06;19:11:00
7099;09;190;2024-07-06;19:21:00
7099;09;190;2024-07-06;19:31:00
7099;09;190;2024-07-06;19:41:00
7099;09;190;2024-07-06;19:51:00
7099;09;190;2024-07-06;20:01:00
7099;09;190;2024-07-06;20:13:00
7099;09;190;2024-07-06;20:28:00
7099;09;190;2024-07-06;20:43:00
7099;09;190;2024-07-06;20:58:00
7099;09;190;2024-07-06;21:13:00
7099;09;190;2024-07-06;21:28:00
7099;09;190;2024-07-06;21:43:00
7099;09;190;2024-07-06;21:58:00
7099;09;190;2024-07-06;22:12:00
7099;09;190;2024-07-06;22:27:00
7099;09;190;2024-07-06;22:42:00
7099;09;190;2024-07-06;22:57:00
7099;09;190;2024-07-06;23:27:00
1163;02;190;2024-07-06;05:01:00
